ID,Sire,Dam,PC,yr
101612,NA,NA,161,2008
101631,NA,NA,163,2008
101632,NA,NA,163,2008
101641,NA,NA,164,2008
101642,NA,NA,164,2008
101651,NA,NA,165,2008
101652,NA,NA,165,2008
101661,NA,NA,166,2008
101662,NA,NA,166,2008
102041,NA,NA,204,2008
102042,NA,NA,204,2008
102061,NA,NA,206,2008
102062,NA,NA,206,2008
102091,NA,NA,209,2008
102092,NA,NA,209,2008
102101,NA,NA,210,2008
102102,NA,NA,210,2008
102121,NA,NA,212,2008
102122,NA,NA,212,2008
102131,NA,NA,213,2008
102132,NA,NA,213,2008
102141,NA,NA,214,2008
102142,NA,NA,214,2008
102171,NA,NA,217,2008
102172,NA,NA,217,2008
102221,NA,NA,222,2008
102222,NA,NA,222,2008
102231,NA,NA,223,2008
102232,NA,NA,223,2008
102301,NA,NA,230,2008
102302,NA,NA,230,2008
102311,NA,NA,231,2008
102312,NA,NA,231,2008
102321,NA,NA,232,2008
102322,NA,NA,232,2008
102331,NA,NA,233,2008
102332,NA,NA,233,2008
102351,NA,NA,235,2008
102352,NA,NA,235,2008
102451,NA,NA,245,2008
102452,NA,NA,245,2008
102461,NA,NA,246,2008
102462,NA,NA,246,2008
102471,NA,NA,247,2008
102472,NA,NA,247,2008
102481,NA,NA,248,2008
102482,NA,NA,248,2008
102491,NA,NA,249,2008
102492,NA,NA,249,2008
102501,NA,NA,250,2008
102502,NA,NA,250,2008
102511,NA,NA,251,2008
102512,NA,NA,251,2008
102521,NA,NA,252,2008
102522,NA,NA,252,2008
102541,NA,NA,254,2008
102542,NA,NA,254,2008
102551,NA,NA,255,2008
102552,NA,NA,255,2008
200011,NA,NA,1,2009
200012,100032,100031,1,2009
200021,NA,NA,2,2009
200022,101042,101041,2,2009
200031,100022,100021,3,2009
200032,100072,100071,3,2009
200041,101612,101611,4,2009
200042,101662,101661,4,2009
200051,100262,100261,5,2009
200052,101242,101241,5,2009
200061,NA,NA,6,2009
200062,101382,101381,6,2009
200071,100432,100431,7,2009
200072,100932,100931,7,2009
200081,100022,100021,8,2009
200082,101342,101341,8,2009
200091,100082,100081,9,2009
200092,100352,100351,9,2009
200101,NA,NA,10,2009
200102,101072,101071,10,2009
200111,100392,100391,11,2009
200112,NA,NA,11,2009
200121,100302,100301,12,2009
200122,NA,NA,12,2009
200141,100392,100391,14,2009
200142,NA,NA,14,2009
200151,100932,100931,15,2009
200152,NA,NA,15,2009
200161,101152,101151,16,2009
200162,NA,NA,16,2009
200171,100122,100121,17,2009
200172,100862,100861,17,2009
200181,100072,100071,18,2009
200182,100032,100031,18,2009
200201,NA,NA,20,2009
200202,100872,100871,20,2009
200231,100302,100301,23,2009
200232,NA,NA,23,2009
200241,NA,NA,24,2009
200242,NA,NA,24,2009
200251,NA,NA,25,2009
200252,102352,102351,25,2009
200261,NA,NA,26,2009
200262,100892,100891,26,2009
